model,train_time_sec,test_accuracy,precision_macro,recall_macro,f1_macro,cv_mean,cv_std,stability_score,composite_score
RandomForest,0.5509966999525204,0.9954545454545455,0.9956709956709957,0.9954545454545454,0.9954517027687758,0.9943181818181819,0.0017967486705502314,0.9925214331476316,0.9948771433147633
NaiveBayes,0.0014739000471308827,0.9931818181818182,0.993278651173388,0.9931818181818183,0.9931775541531639,0.9948863636363636,0.0011363636363636686,0.9937499999999999,0.9936647727272727
SVM,0.15072149992920458,0.9863636363636363,0.9867851446798815,0.9863636363636363,0.9863551083063278,0.9886363636363636,0.0064782694607905264,0.9821580941755731,0.9865112639630118
KNN,0.0015391000779345632,0.9863636363636363,0.987012987012987,0.9863636363636363,0.9863506198551127,0.975,0.008503766788122608,0.9664962332118774,0.9815359869575514
